kind,owner,name,target,keys,delete,source
createIndex,candidate_evaluation,idx_candidate_evaluation_staff_id,,'staff_id',constraint history; unique=unspecified,console/migrations/m230113_065332_candidate_evaluation.php:55
addForeignKey,candidate_eval_dept_ques,fk_candidate_eval_dept_ques_ceq_uuid,candidate_eval_ques,'ceq_uuid' -> 'ceq_uuid',,console/migrations/m230113_065332_candidate_evaluation.php:57
addForeignKey,candidate_evaluation,fk_candidate_evaluation_candidate_id,candidate,'candidate_id' -> 'candidate_id',,console/migrations/m230113_065332_candidate_evaluation.php:66
addForeignKey,candidate_evaluation,fk_candidate_evaluation_ceq_uuid,candidate_eval_ques,'ceq_uuid' -> 'ceq_uuid',,console/migrations/m230113_065332_candidate_evaluation.php:75
addForeignKey,candidate_evaluation,fk_candidate_evaluation_staff_id,staff,'staff_id' -> 'staff_id',,console/migrations/m230113_065332_candidate_evaluation.php:84
createIndex,candidate_evaluation_answer,idx_candidate_evaluation_answer_ceq_uuid,,'ceq_uuid',constraint history; unique=unspecified,console/migrations/m230117_113129_candidate_evaluation_answers.php:28
createIndex,candidate_evaluation_answer,idx_candidate_evaluation_answer_can_eval_uuid,,'can_eval_uuid',constraint history; unique=unspecified,console/migrations/m230117_113129_candidate_evaluation_answers.php:29
addForeignKey,candidate_evaluation_answer,fk_candidate_evaluation_answer_ceq_uuid,candidate_eval_ques,'ceq_uuid' -> 'ceq_uuid',,console/migrations/m230117_113129_candidate_evaluation_answers.php:31
addForeignKey,candidate_evaluation_answer,fk_candidate_evaluation_answer_can_eval_uuid,candidate_evaluation,'can_eval_uuid' -> 'can_eval_uuid',,console/migrations/m230117_113129_candidate_evaluation_answers.php:40
dropForeignKey,candidate_evaluation,fk_candidate_evaluation_ceq_uuid,,,unspecified,console/migrations/m230117_113129_candidate_evaluation_answers.php:50
addPrimaryKey,staff_expenses,PK,,'staff_expense_uuid',constraint history; unique=unspecified,console/migrations/m230201_084401_staff_expenses.php:40
createIndex,staff_expenses,idx_staff_expenses_staff_id,,'staff_id',constraint history; unique=unspecified,console/migrations/m230201_084401_staff_expenses.php:42
addForeignKey,staff_expenses,fk_staff_expenses_staff_id,staff,'staff_id' -> 'staff_id',,console/migrations/m230201_084401_staff_expenses.php:44
createIndex,company,idx-company-staff_id,,'staff_id',constraint history; unique=unspecified,console/migrations/m230222_105944_update_company_table.php:18
addForeignKey,company,fk-company-staff_id,staff,'staff_id' -> 'staff_id',,console/migrations/m230222_105944_update_company_table.php:24
addPrimaryKey,setting,PK,,'setting_uuid',constraint history; unique=unspecified,console/migrations/m230314_125154_setting.php:32
addForeignKey,candidate_tag,fk-candidate_tag-candidate_id,candidate,'candidate_id' -> 'candidate_id',CASCADE,console/migrations/m230504_083255_candidate_tag.php:30
createIndex,candidate_tag,idx-candidate_tag-created_by,,'created_by',constraint history; unique=unspecified,console/migrations/m230521_161132_tag_reason.php:23
addForeignKey,candidate_tag,fk-candidate_tag-created_by,staff,'created_by' -> 'staff_id',CASCADE,console/migrations/m230521_161132_tag_reason.php:29
createIndex,webhook,idx-webhook-event,,'event',constraint history; unique=unspecified,console/migrations/m230528_090412_webhook.php:33
addForeignKey,webhook,fk-webhook-created_by,staff,'created_by' -> 'staff_id',,console/migrations/m230528_090412_webhook.php:40
addForeignKey,webhook,fk-webhook-updated_by,staff,'updated_by' -> 'staff_id',,console/migrations/m230528_090412_webhook.php:50
createIndex,candidate_warning,idx-candidate_warning-candidate_id,,'candidate_id',constraint history; unique=unspecified,console/migrations/m230606_130436_warning.php:33
addForeignKey,candidate_warning,fk-candidate_warning-candidate_id,candidate,'candidate_id' -> 'candidate_id',,console/migrations/m230606_130436_warning.php:40
createIndex,candidate_warning,idx-candidate_warning-created_by,,'created_by',constraint history; unique=unspecified,console/migrations/m230606_130436_warning.php:50
addForeignKey,candidate_warning,fk-candidate_warning-created_by,staff,'created_by' -> 'staff_id',,console/migrations/m230606_130436_warning.php:57
createIndex,candidate_warning,idx-candidate_warning-updated_by,,'updated_by',constraint history; unique=unspecified,console/migrations/m230606_130436_warning.php:67
addForeignKey,candidate_warning,fk-candidate_warning-updated_by,staff,'updated_by' -> 'staff_id',,console/migrations/m230606_130436_warning.php:74
addPrimaryKey,company_request,PK,,'company_request_uuid',constraint history; unique=unspecified,console/migrations/m230706_042813_company_request.php:38
createIndex,company_request,idx-company_request-contact_uuid,,'contact_uuid',constraint history; unique=unspecified,console/migrations/m230706_042813_company_request.php:41
addForeignKey,company_request,fk-company_request-contact_uuid,contact,'contact_uuid' -> 'contact_uuid',,console/migrations/m230706_042813_company_request.php:48
addPrimaryKey,email_campaign,PK,,'campaign_uuid',constraint history; unique=unspecified,console/migrations/m231009_105032_email.php:31
addPrimaryKey,email_campaign_filter,PK,,'cf_uuid',constraint history; unique=unspecified,console/migrations/m231009_105032_email.php:40
createIndex,email_campaign_filter,ind-email_campaign_filter-campaign_uuid,,'campaign_uuid',constraint history; unique=unspecified,console/migrations/m231009_105032_email.php:42
addForeignKey,email_campaign_filter,fk-email_campaign_filter-customer_id,email_campaign,'campaign_uuid' -> 'campaign_uuid',CASCADE,console/migrations/m231009_105032_email.php:44
addPrimaryKey,staff_notification,PK,,'sn_uuid',constraint history; unique=unspecified,console/migrations/m231129_080008_staff_notification.php:29
createIndex,staff_notification,idx-staff_notification-staff_id,,'staff_id',constraint history; unique=unspecified,console/migrations/m231129_080008_staff_notification.php:32
addForeignKey,staff_notification,fk-staff_notification-staff_id,staff,'staff_id' -> 'staff_id',unspecified,console/migrations/m231129_080008_staff_notification.php:39
createIndex,contact,ind-contact-contact_email_verified_by,,'contact_email_verified_by',constraint history; unique=unspecified,console/migrations/m240103_101148_contact.php:19
addForeignKey,contact,fk-contact-contact_email_verified_by,staff,'contact_email_verified_by' -> 'staff_id',unspecified,console/migrations/m240103_101148_contact.php:21
addPrimaryKey,blocked_ip,PK,,'ip_uuid',constraint history; unique=unspecified,console/migrations/m240203_060625_block_ip.php:37
createIndex,company,ind-company-country_id,,'country_id',constraint history; unique=unspecified,console/migrations/m240214_084103_multi_currency.php:212
addForeignKey,company,fk-company-country_id,country,'country_id' -> 'country_id',unspecified,console/migrations/m240214_084103_multi_currency.php:214
createIndex,company,ind-company-currency_code,,'currency_code',constraint history; unique=unspecified,console/migrations/m240214_084103_multi_currency.php:220
